Product ID,Product Title,Product Status,Variant ID,Variant Title,SKU,Inventory Item ID,Inventory Tracked,Location ID,Location Name,Location Active,Available Quantity
8068395597887,TM-B Launch Edition,DRAFT,42822683361343,All-Terrain | Bench | Standard,115321-0101U-1,44973294813247,No,,,,
8068395597887,TM-B Launch Edition,DRAFT,42822683394111,Road | Bench | Sport,116311-0101U-1,44973294846015,No,,,,
8068395597887,TM-B Launch Edition,DRAFT,42822683426879,Road | Bench | Standard,116321-0101U-1,44973294878783,No,,,,
8068395597887,TM-B Launch Edition,DRAFT,42822683459647,All-Terrain | Utility (LG) | Sport,115211-01014-1,44973294911551,No,,,,
8068395597887,TM-B Launch Edition,DRAFT,42822683492415,All-Terrain | Utility (LG) | Standard,115221-01014-1,44973294944319,No,,,,
8068395597887,TM-B Launch Edition,DRAFT,42822683525183,Road | Utility (LG) | Sport,116211-01014-1,44973294977087,No,,,,
8068395597887,TM-B Launch Edition,DRAFT,42822683557951,Road | Utility (LG) | Standard,116221-01014-1,44973295009855,No,,,,
8068395597887,TM-B Launch Edition,DRAFT,42822683590719,All-Terrain | Utility (SM) | Sport,115211-01012-1,44973295042623,No,,,,
8068395597887,TM-B Launch Edition,DRAFT,42822683623487,All-Terrain | Utility (SM) | Standard,115221-01012-1,44973295075391,No,,,,
8068395597887,TM-B Launch Edition,DRAFT,42822683656255,Road | Utility (SM) | Sport,116211-01012-1,44973295108159,No,,,,
8068395597887,TM-B Launch Edition,DRAFT,42822683689023,Road | Utility (SM) | Standard,116221-01012-1,44973295140927,No,,,,
8068401496127,TM-B,ACTIVE,42822701678655,All-Terrain | Solo (SM) | Sport,111111-03012-1,44973313130559,Yes,74355081279,SEKO,Yes,-13
8068401496127,TM-B,ACTIVE,42822701711423,All-Terrain | Solo (LG) | Sport,111111-03014-1,44973313163327,Yes,74355081279,SEKO,Yes,0
8068401496127,TM-B,ACTIVE,42822701744191,All-Terrain | Solo (SM) | Standard,111121-03012-1,44973313196095,Yes,74355081279,SEKO,Yes,-1
8068401496127,TM-B,ACTIVE,42822701776959,All-Terrain | Solo (LG) | Standard,111121-03014-1,44973313228863,Yes,74355081279,SEKO,Yes,0
8068401496127,TM-B,ACTIVE,42822701809727,Road | Solo (SM) | Sport,112111-03012-1,44973313261631,Yes,74355081279,SEKO,Yes,-1
8068401496127,TM-B,ACTIVE,42822701842495,Road | Solo (LG) | Sport,112111-03014-1,44973313294399,Yes,74355081279,SEKO,Yes,-6
8068401496127,TM-B,ACTIVE,42822701875263,Road | Solo (SM) | Standard,112121-03012-1,44973313327167,Yes,74355081279,SEKO,Yes,-2
8068401496127,TM-B,ACTIVE,42822701908031,Road | Solo (LG) | Standard,112121-03014-1,44973313359935,Yes,74355081279,SEKO,Yes,-4
8068401496127,TM-B,ACTIVE,42822701940799,All-Terrain | Utility (SM) | Sport,111211-03012-1,44973313392703,Yes,74355081279,SEKO,Yes,-2
8068401496127,TM-B,ACTIVE,42822701973567,All-Terrain | Utility (LG) | Sport,111211-03014-1,44973313425471,Yes,74355081279,SEKO,Yes,-3
8068401496127,TM-B,ACTIVE,42822702006335,All-Terrain | Utility (SM) | Standard,111221-03012-1,44973313458239,Yes,74355081279,SEKO,Yes,-2
8068401496127,TM-B,ACTIVE,42822702039103,All-Terrain | Utility (LG) | Standard,111221-03014-1,44973313491007,Yes,74355081279,SEKO,Yes,0
8068401496127,TM-B,ACTIVE,42822702071871,Road | Utility (SM) | Sport,112211-03012-1,44973313523775,Yes,74355081279,SEKO,Yes,-3
8068401496127,TM-B,ACTIVE,42822702104639,Road | Utility (LG) | Sport,112211-03014-1,44973313556543,Yes,74355081279,SEKO,Yes,0
8068401496127,TM-B,ACTIVE,42822702137407,Road | Utility (SM) | Standard,112221-03012-1,44973313589311,Yes,74355081279,SEKO,Yes,0
8068401496127,TM-B,ACTIVE,42822702170175,Road | Utility (LG) | Standard,112221-03014-1,44973313622079,Yes,74355081279,SEKO,Yes,0
8068401496127,TM-B,ACTIVE,42822702202943,All-Terrain | Bench | Sport,111311-0301U-1,44973313654847,Yes,74355081279,SEKO,Yes,-1
8068401496127,TM-B,ACTIVE,42822702235711,All-Terrain | Bench | Standard,111321-0301U-1,44973313687615,Yes,74355081279,SEKO,Yes,-7
8068401496127,TM-B,ACTIVE,42822702268479,Road | Bench | Sport,112311-0301U-1,44973313720383,Yes,74355081279,SEKO,Yes,-1
8068401496127,TM-B,ACTIVE,42822702301247,Road | Bench | Standard,112321-0301U-1,44973313753151,Yes,74355081279,SEKO,Yes,-6
7931078606911,Module Skateboard SB Launch All-Terrain - Gen 1 Translucent Purple/Grey Universal - United States,DRAFT,42457920536639,Default Title,13SEN1-0101U-1,44589367263295,Yes,70293422143,630 Hansen Way,Yes,-94
7932767240255,TM-B Performance,UNLISTED,42822715408447,All-Terrain | Solo (LG) | Sport,113111-02014-1,44973326860351,Yes,70293422143,630 Hansen Way,Yes,10
7932767240255,TM-B Performance,UNLISTED,42822715441215,All-Terrain | Solo (SM) | Standard,113121-02012-1,44973326893119,Yes,70293422143,630 Hansen Way,Yes,1
7932767240255,TM-B Performance,UNLISTED,42822715473983,All-Terrain | Solo (LG) | Standard,113121-02014-1,44973326925887,Yes,70293422143,630 Hansen Way,Yes,-11
7932767240255,TM-B Performance,UNLISTED,42822715506751,Road | Solo (SM) | Sport,114111-02012-1,44973326958655,Yes,70293422143,630 Hansen Way,Yes,0
7932767240255,TM-B Performance,UNLISTED,42822715539519,Road | Solo (LG) | Sport,114111-02014-1,44973326991423,Yes,70293422143,630 Hansen Way,Yes,-3
7932767240255,TM-B Performance,UNLISTED,42822715572287,Road | Solo (SM) | Standard,114121-02012-1,44973327024191,Yes,70293422143,630 Hansen Way,Yes,9
7932767240255,TM-B Performance,UNLISTED,42822715605055,Road | Solo (LG) | Standard,114121-02014-1,44973327056959,Yes,70293422143,630 Hansen Way,Yes,1
7932767240255,TM-B Performance,UNLISTED,42822715637823,All-Terrain | Utility (SM) | Sport,113211-02012-1,44973327089727,Yes,70293422143,630 Hansen Way,Yes,0
7932767240255,TM-B Performance,UNLISTED,42822715637823,All-Terrain | Utility (SM) | Sport,113211-02012-1,44973327089727,Yes,74355081279,SEKO,Yes,-2
7932767240255,TM-B Performance,UNLISTED,42822715670591,All-Terrain | Utility (LG) | Sport,113211-02014-1,44973327122495,Yes,70293422143,630 Hansen Way,Yes,-1
7932767240255,TM-B Performance,UNLISTED,42822715703359,All-Terrain | Utility (SM) | Standard,113221-02012-1,44973327155263,Yes,70293422143,630 Hansen Way,Yes,-1
7932767240255,TM-B Performance,UNLISTED,42822715736127,All-Terrain | Utility (LG) | Standard,113221-02014-1,44973327188031,Yes,70293422143,630 Hansen Way,Yes,0
7932767240255,TM-B Performance,UNLISTED,42822715768895,Road | Utility (SM) | Sport,114211-02012-1,44973327220799,Yes,70293422143,630 Hansen Way,Yes,0
7932767240255,TM-B Performance,UNLISTED,42822715801663,Road | Utility (LG) | Sport,114211-02014-1,44973327253567,Yes,70293422143,630 Hansen Way,Yes,-1
7932767240255,TM-B Performance,UNLISTED,42822715834431,Road | Utility (SM) | Standard,114221-02012-1,44973327286335,Yes,70293422143,630 Hansen Way,Yes,0
7932767240255,TM-B Performance,UNLISTED,42822715867199,Road | Utility (LG) | Standard,114221-02014-1,44973327319103,Yes,70293422143,630 Hansen Way,Yes,-3
7932767240255,TM-B Performance,UNLISTED,42822715867199,Road | Utility (LG) | Standard,114221-02014-1,44973327319103,Yes,74355081279,SEKO,Yes,0
7932767240255,TM-B Performance,UNLISTED,42822715899967,All-Terrain | Bench | Sport,113311-0201U-1,44973327351871,Yes,70293422143,630 Hansen Way,Yes,-4
7932767240255,TM-B Performance,UNLISTED,42822715932735,All-Terrain | Bench | Standard,113321-0201U-1,44973327384639,Yes,70293422143,630 Hansen Way,Yes,0
7932767240255,TM-B Performance,UNLISTED,42822715965503,Road | Bench | Sport,113111-02012-1,44973327417407,Yes,70293422143,630 Hansen Way,Yes,0
7932767240255,TM-B Performance,UNLISTED,42822715998271,Road | Bench | Standard,113111-02012-1,44973327450175,Yes,70293422143,630 Hansen Way,Yes,-2
7932767240255,TM-B Performance,UNLISTED,42822716031039,All-Terrain | Solo (SM) | Sport | Fenders,113111-02012-1,44973327482943,Yes,70293422143,630 Hansen Way,Yes,0
7930163593279,Cockpit | Standard,ACTIVE,42454740697151,Default Title,13CN21-0301U-0,44586042818623,Yes,74355081279,SEKO,Yes,421
7930163724351,Launch Edition | Performance Battery,DRAFT,42454740860991,Default Title,13BXN1-0101U-1,44586043015231,Yes,70293422143,630 Hansen Way,Yes,0
7930163953727,Performance Battery,ACTIVE,42454741155903,Default Title,13BZN1-0201U-1,44586043244607,Yes,74355081279,SEKO,Yes,-1
7930164150335,Standard Battery,ACTIVE,42454741385279,Default Title,13BYN1-0301U-1,44586043473983,Yes,74355081279,SEKO,Yes,0
7930164838463,TM-B Road,ACTIVE,42454742237247,Default Title,13SBN1-0301U-1,44586044325951,Yes,74355081279,SEKO,Yes,-6
7930164969535,TM-B All-Terrain,ACTIVE,42454742368319,Default Title,13SAN1-0301U-1,44586044457023,Yes,74355081279,SEKO,Yes,-16
7930165100607,TM-B Performance All-Terrain,ACTIVE,42454742532159,Default Title,13SCN1-0201U-1,44586044620863,Yes,74355081279,SEKO,Yes,-6
7930165231679,TM-B Performance Road,ACTIVE,42454742695999,Default Title,13SDN1-0201U-1,44586044784703,Yes,74355081279,SEKO,Yes,-6
7930165362751,Top Frame | Solo (S),DRAFT,42917885935679,Default Title,13T1N1-NA012-0_test,45081529811007,Yes,74355081279,SEKO,Yes,-24
7930165493823,Top Frame | Solo (L),DRAFT,42454743023679,Default Title,13T1N1-NA014-0,44586045112383,Yes,74355081279,SEKO,Yes,-44
7930165592127,Launch Edition | Cockpit | Sport,ACTIVE,42454743154751,Default Title,13CN11-0101U-0,44586045243455,Yes,74355081279,SEKO,Yes,373
7930165657663,Top Frame | Utility (S),DRAFT,42454743187519,Default Title,13T2N1-NA012-0,44586045308991,Yes,74355081279,SEKO,Yes,-33
7930165755967,Launch Edition | Cockpit | Standard,ACTIVE,42454743351359,Default Title,13CN21-0101U-0,44586045440063,Yes,74355081279,SEKO,Yes,320
7930165821503,Top Frame | Utility (L),DRAFT,42454743416895,Default Title,13T2N1-NA014-0,44586045505599,Yes,74355081279,SEKO,Yes,-36
